step_id,recipe_id,step_number,step_text
8366,1691,1,玉ねぎはみじん切りにし、ボウルに入れます。鶏ひき肉、Aを加え、粘りが出るまで捏ねます。
8369,1691,2,１のタネを１人３個付けになるように等分にします。青じそを広げてタネを挟み、軽く形をととのえます。
97272,1691,3,フライパンにサラダ油を弱火で熱し、タネを重ならないように並べます。
8372,1691,4,弱火でじっくり焼き、焼き色がついてきたらひっくり返します。
8373,1691,5,蓋をして５分ほど蒸し焼きにし、中まで火が通ったら出来上がりです。
98763,2460,1,A、Bはそれぞれ混ぜ合わせておきます。
12473,2460,2,鶏肉は厚みを半分にして開きます。ラップをかぶせて厚さ１cmほどになるまでめん棒でたたいてのばし、半分に切ります。
12474,2460,3,Aをまぶした後、Ｂをまぶしてしっかりおさえて衣をつけます。
12475,2460,4,フライパンにサラダ油を中火で熱し、３を並べて両面がきつね色になるまで３〜４分ほど焼きます。
35367,2460,5,器に盛り、ベビーリーフ、ミニトマトを添えたら出来上がりです。
26511,4907,1,Ａの調味料を混ぜ合わせます。
26512,4907,2,豚肉とさやいんげんは４cmの長さに切ります。なすは縦に６〜８等分に切り、長さを半分にします。
26513,4907,3,フライパンにごま油を熱し、２を並べ、蓋をして中火で蒸し焼きにします。※途中、軽く混ぜます
26514,4907,4,全体に火が通ったらＡを加え、炒め合わせて出来上がりです。
32130,5832,1,牛肉に塩と粗びき黒こしょうをまぶし、赤ワインとローリエに漬け込みます。
32131,5832,2,じゃがいもは皮をむき、大きめに切ったら水にさらします。玉ねぎは２cm幅に切り、マッシュルームは半分に切ります。
32132,5832,3,にんじんは皮をむき３等分に切ったら、１つを４等分に切り角を削いで丸くします。
32133,5832,4,ブロッコリーは一口大に切り、さっとゆでてざるにあげます。
32135,5832,5,熱した鍋にバターをひき、牛肉を中火で焼きます。漬けていた赤ワインは捨てずにとっておきます。
32136,5832,6,玉ねぎとにんじんを加え、玉ねぎがしんなりとしたらじゃがいもを加え炒めます。
32137,5832,7,水と肉を漬け込んでた赤ワインを入れ、一煮立ちしたら弱火にしてアクを取ります。
32138,5832,8,ローリエを入れ、蓋をして弱火で20分煮ます。
32140,5832,9,マッシュルームとAを入れ、蓋をせずに15分煮ます。
32141,5832,10,塩、粗びき黒こしょうで味をととのえ、じゃがいもを戻し味をなじませます。
32142,5832,11,器に盛り付け、ブロッコリーを飾って出来上がりです。
40616,7275,1,玉ねぎは粗みじん切り、トマトは皮をむいてざく切りにします。しょうがとにんにくはみじん切りにします。
40617,7275,2,鍋にオリーブ油とクミンシードを弱火で熱し、パチパチと音がしてきたら、しょうがとにんにくを加え炒め合わせます。
40618,7275,3,にんにくの香りがしてきたら中火にし、玉ねぎを加えてしんなりとするまで炒めます。
40619,7275,4,ひき肉を加えてそぼろ状になるまで炒めたら、Aのスパイスを加えて肉になじむよう1分ほど炒めます。
92585,7275,5,トマトを加え、トマトの形が少し崩れて水けが出るまで炒め合わせます。
40620,7275,6,ヨーグルトを加え混ぜてから、水を加えます。弱火で10ほど煮たら大豆を加え、さらに５分煮ます。
40621,7275,7,塩とガラムマサラで味付けし、全体を大きく混ぜながら汁けがなくなるまで炒めます。器に盛り、パセリを振って出来上がりです。
112505,7275,8,このレシピは、より作りやすくなるように一部内容を見直しました。（2025年11月）
41753,7452,1,トマトは２〜３cm大の角切りにします。
41754,7452,2,卵に塩を加え、溶きほぐします。フライパンにごま油の半量を中火で熱し、卵を流し入れて炒り卵を作り、一度取り出します。
41755,7452,3,２のフライパンに残りのごま油を中火で熱し、トマトを炒めます。トマトがしんなりとしたらＡを加え、炒り卵を戻し入れます。
67771,7452,4,軽く炒め合わせたら、器に盛ります。ベビーリーフを添えて出来上がりです。
41858,7474,1,キャベツとマヨネーズをボウルに入れ、全体を混ぜます。
41859,7474,2,パンの１枚にチーズ、ベーコンの順にのせます。
90882,7474,3,２と何もつけていないパンをオーブントースターでこんがりと焼きます。
41863,7474,4,焼き上がったら、何もつけていないパンに粒マスタードを塗ります。
41864,7474,5,台にラップを敷き、粒マスタードを塗ったパンを並べ、中央部が山状になるようにキャベツをのせます。
41866,7474,6,チーズとベーコンがのったパンを上にかぶせ、しっかり押さえます。キャベツが脇からはみ出していたら、中に入れ込みます。
41868,7474,7,ラップを少し引っ張るようにしてしっかりと包み込み、そのまま数分おきます。ラップに包んだまま、包丁で半分に切ります。
43592,7757,1,長ねぎはせん切りにし、三つ葉は長さ３cmに切ります。
100306,7757,2,鮭は３等分に切り、塩と酒を振ります。５分ほどおいたら、ペーパータオルで水けを拭き取ります。
43591,7757,3,フライパンにサラダ油を中火で熱し、鮭と混ぜ合わせたＡを入れ、鮭に味が絡むように５〜６分ほど焼きます。
43593,7757,4,器に盛り付け、長ねぎ、三つ葉を添えたら出来上がりです。
53638,9665,1,そら豆は熱湯で１分ほどゆで、薄皮を除きます。
53639,9665,2,豚肉は食べやすい大きさに切ってAに５分ほど漬けたら、片栗粉をまぶします。
53637,9665,3,フライパンにサラダ油を中火で熱し、豚肉を炒めます。豚肉の色が変わったらそら豆を加え炒め合わせます。
53640,9665,4,混ぜ合わせたBを加え、味が絡まるように炒めたら出来上がりです。
55893,10094,1,ほたてはさっと洗って水気を拭き取り、食べやすい大きさに切る。エリンギも食べやすい大きさに切り、玉ねぎは薄切りにする。
55894,10094,2,フライパンにオリーブオイルを熱し、１を炒める。ほたては火が通ったら、いったん取り出す。
55895,10094,3,２に半分に折ったスパゲッティとAを加え、スパゲッティの表示時間かき混ぜながら弱火で煮る。
55896,10094,4,焼いたほたてを戻し入れ、パルメザンチーズを加えてさっと煮、器に盛りつけてパセリを散らす。
57385,10434,1,玉ねぎは一口大に切ります。耐熱容器に入れてふんわりとラップをし、電子レンジ（600w）で２分ほど加熱します。
57386,10434,2,エリンギは食べやすい大きさに切り、しょうがはみじん切りにします。レタスは食べやすい大きさにちぎります。
88477,10434,3,ぶりは一口大に切ってボウルに入れ、塩と酒を振り10分ほどおきます。水けを拭き取り、片栗粉を薄くまぶします。
57640,10434,4,フライパンにサラダ油としょうがを弱火で熱し、香りが立ったらぶりを皮目が下になるように並べ、中火で焼きます。
57387,10434,5,ぶりの片面に焼き色がついたら、エリンギを加えて炒めます。
57388,10434,6,玉ねぎを加えさっと炒めて弱火にし、Aの調味料を加えて混ぜ合わせます。
57389,10434,7,全体に味がなじんだらしょうゆを回し入れ、さっと炒め合わせます。レタスをしいた器に盛り付けて出来上がりです。
57761,10543,1,ボウルに鶏ひき肉、長ねぎ、しょうが、白ごま、塩を加えて、全体がねっとりするまでよく混ぜる。
