ingredient_id,recipe_id,ingredient_name,quantity_text,gram
14642,1691,鶏ひき肉,300ｇ,240.0
14644,1691,玉ねぎ,1/4個分（40g）,120.0
14643,1691,青じそ,10枚,4.5
14649,1691,サラダ油,少々,6.0
14646,1691,しょうゆ,小さじ2強,9.0
14645,1691,みそ,小さじ2弱,6.0
14648,1691,片栗粉,小さじ2,6.0
14647,1691,塩,少々,0.6
124367,1691,こしょう,,0.15
21428,2460,鶏むね肉（皮なし）,１枚（300g弱）,320.0
21434,2460,サラダ油,適量,16.0
21438,2460,ベビーリーフ,,60.0
21439,2460,ミニトマト,,40.0
21430,2460,酒,大さじ１,16.0
21437,2460,片栗粉,,8.0
21429,2460,塩,各少々,2.4
21499,2460,こしょう,,0.2
21435,2460,ガーリックパウダー,,1.2
21431,2460,パン粉,1カップ,20.0
21432,2460,粉チーズ,大さじ２,6.0
21433,2460,青のり,大さじ２,2.0
43215,4907,豚もも薄切り肉,60g,70.0
43216,4907,さやいんげん,60g,40.0
43217,4907,なす,1本,80.0
43218,4907,ごま油,大1,3.0
43219,4907,Aみそ,大1,6.0
43220,4907,Ａはちみつ,大1,3.5
43222,4907,Ａオイスターソース,小1,5.0
43221,4907,Ａ白ごま,大1,1.0
51845,5832,牛もも塊肉（脂身なし）,３００g,350.0
51846,5832,赤ワイン,１００cc,100.0
51847,5832,塩,少々,1.0
51882,5832,粗びき黒こしょう,,0.32
51848,5832,ローリエ,１枚,0.5
51849,5832,じゃがいも,２個(２００g),200.0
51850,5832,玉ねぎ,１個(２００g),200.0
51852,5832,マッシュルーム,６個(８０g),75.0
51851,5832,にんじん,１本(１００g),100.0
51862,5832,ブロッコリー,適量,125.0
51861,5832,バター（炒め用）,１０g,5.0
51854,5832,水,３００cc,400.0
51858,5832,ローリエ,１枚,0.5
51859,5832,塩,適量,1.0
51883,5832,粗びき黒こしょう,,0.32
51855,5832,Aデミグラスソース缶,１缶(２９０g),250.0
51856,5832,Aケチャップ,大さじ２,40.0
51857,5832,Aウスターソース,大さじ１,20.0
66005,7275,鶏ひき肉,150g,200.0
66008,7275,大豆水煮,1缶（正味140g）,160.0
66006,7275,玉ねぎ,中1個,200.0
66007,7275,トマト,大きめ1個,160.0
66010,7275,しょうが,1かけ,12.0
66009,7275,にんにく,2かけ,8.0
66017,7275,オリーブ油,大さじ1,8.0
66011,7275,クミンシード,小さじ1/2,0.8
66018,7275,プレーンヨーグルト,大さじ1,30.0
66019,7275,水,250ml,240.0
66020,7275,塩,小さじ1程度,4.0
66021,7275,ガラムマサラ,小さじ1～,2.0
90637,7275,乾燥パセリ,,0.2
66012,7275,クミンパウダー,大さじ1強,6.0
66013,7275,コリアンダー,小さじ2,4.0
66016,7275,ガラムマサラ,小さじ1,2.0
66015,7275,カレー粉,小さじ1,2.0
66014,7275,ターメリック,小さじ1,2.0
67870,7452,トマト,1個,140.0
67869,7452,卵（Lサイズ）,2個,120.0
89443,7452,塩,,0.2
67875,7452,ごま油,大さじ1,6.0
67889,7452,ベビーリーフ,,20.0
67873,7452,酒,小さじ1,6.0
67872,7452,しょうゆ,小さじ1,4.0
67874,7452,塩,小さじ1/2,0.6
68114,7474,ライ麦食パン（５枚切り１枚/人）,2枚,140.0
68115,7474,キャベツ（せん切り）,大2枚,100.0
68116,7474,ショルダーベーコン,1枚,20.0
68117,7474,スライスチーズ,1枚,18.0
68118,7474,マヨネーズ（低カロリータイプ）,大さじ2,16.0
68119,7474,粒マスタード,小さじ1,8.0
70919,7757,鮭（切り身）,,80.0
73103,7757,塩（鮭用）,,0.2
73104,7757,酒（鮭用）,,5.0
70920,7757,サラダ油,,2.0
70924,7757,しょうが（すりおろし）,,3.0
70921,7757,しょうゆ,,4.0
70922,7757,酒,,4.0
70923,7757,みりん,,3.0
70927,7757,長ねぎ,,2.0
70928,7757,三つ葉,,1.0
88911,9665,豚もも薄切り肉,１５０g,140.0
88917,9665,そら豆（薄皮付き）,２０粒,80.0
88916,9665,片栗粉,大さじ１,6.0
88918,9665,サラダ油,大さじ１/２,4.0
88915,9665,しょうが（すりおろし）,少々,4.0
88914,9665,にんにく（すりおろし）,少々,2.0
88913,9665,酒,小さじ１/２,5.0
88912,9665,しょうゆ,小さじ１/２,4.0
88919,9665,オイスターソース,大さじ１,12.0
88920,9665,酒,大さじ１,10.0
88921,9665,粗びき黒こしょう,適量,0.1
92646,10094,ほたて,,60.0
92647,10094,エリンギ,,40.0
92648,10094,玉ねぎ,,30.0
92661,10094,オリーブオイル,,2.0
92649,10094,スパゲッティ,,70.0
92657,10094,粉チーズ,,4.0
92660,10094,パセリ（みじん切り）,,0.2
92679,10094,粗挽き黒胡椒,,0.1
92653,10094,A牛乳,,100.0
92654,10094,A水,,150.0
92658,10094,A顆粒コンソメ,,2.0
92659,10094,A塩,,0.5
95340,10434,ぶり（切り身）,２００ｇ,210.0
95341,10434,塩,少々,0.6
95342,10434,酒,小さじ１,7.5
95343,10434,片栗粉,少々,4.5
95345,10434,玉ねぎ,大１/２個,150.0
95344,10434,エリンギ,１本,120.0
95346,10434,しょうが,約３ｇ,4.5
95374,10434,レタス,,30.0
95347,10434,サラダ油,小さじ１,6.0
95353,10434,しょうゆ,大さじ1/2,9.0
95350,10434,みりん,大さじ１,18.0
95351,10434,黒酢,大さじ１,15.0
95352,10434,オイスターソース,大さじ１弱,15.0
95348,10434,酒,大さじ１,15.0
95349,10434,砂糖,大さじ１,9.0
96080,10543,鶏ひき肉,,70.0
96083,10543,長ねぎ（みじん切り）,,20.0
96082,10543,しょうが（すりおろし）,,5.0
96089,10543,白ごま,,0.5
96123,10543,塩,,0.1
96088,10543,みそ,,10.0
96091,10543,水,,250.0
96085,10543,もやし,,100.0
96086,10543,にら（食べやすい長さに切る）,,50.0
96428,10543,白菜キムチ,,25.0
98492,10806,鶏もも（皮なし）,,80.0
